edge_id,edge_signature,source,target,label,style,v2_primary_class,v2_secondary_tag,v2_polarity,execution_role,control_direction,constraint_strength,mandatory,is_executable,side_effect_scope,gate_family,loop_family,path_criticality,rationale,evidence
E030,TG->TV,TG,TV,Yes,solid,GateTransitionObject,gate:handoff:time_validator,positive,validator_handoff,forward,hard,true,true,global,time,none,critical,达到最小时长后交给time_validator,flow_chart_original.dot:57
E031,TV->RR,TV,RR,REJECT,solid,ExceptionTransitionObject,exception:block,negative,gate_block,halt_or_detour,hard,conditional,true,phase_or_global,time_or_quality,none,critical,validator拒绝则阻断并重跑,flow_chart_original.dot:58
E032,TV->NX,TV,NX,APPROVE,solid,ProgressTransitionObject,progress:released,positive,gate_release,forward,hard,conditional,true,phase_or_global,time_or_quality,none,critical,validator通过后可放行,flow_chart_original.dot:59
E033,NX->CONT,NX,CONT,,solid,ProgressTransitionObject,progress:released,positive,gate_release,forward,hard,conditional,true,phase_or_global,time_or_quality,none,critical,放行后进入继续执行,flow_chart_original.dot:60
E034,P01->B01,P01,B01,,dashed,SyncTransitionObject,sync:dependency,neutral,dependency_control,lateral,hard,true,true,phase,dependency,none,high,0.1完成状态绑定阻塞规则节点,flow_chart_original.dot:64
E035,B01->P02,B01,P02,解锁后,dashed,SyncTransitionObject,sync:dependency,neutral,dependency_control,lateral,hard,true,true,phase,dependency,none,high,满足依赖后允许进入0.2,flow_chart_original.dot:65
E036,VR->PAUSE,VR,PAUSE,Yes,solid,RollbackTransitionObject,rollback:trigger,negative,rollback_trigger,detour,hard,conditional,true,global,validator,none,critical,validator强制回退触发暂停,flow_chart_original.dot:77
E037,VR->CONT,VR,CONT,No,solid,ProgressTransitionObject,progress:continued,positive,continuation,forward,medium,conditional,true,phase,none,none,medium,无强制回退则继续主线,flow_chart_original.dot:78
E038,PAUSE->RW1,PAUSE,RW1,,solid,RollbackTransitionObject,rollback:dispatch,negative,rollback_dispatch,backward,hard,conditional,true,global,validator,none,critical,暂停后分派回退到Phase1,flow_chart_original.dot:79
E039,PAUSE->RW3,PAUSE,RW3,,solid,RollbackTransitionObject,rollback:dispatch,negative,rollback_dispatch,backward,hard,conditional,true,global,validator,none,critical,暂停后分派回退到Phase3,flow_chart_original.dot:80
E040,PAUSE->RW4,PAUSE,RW4,,solid,RollbackTransitionObject,rollback:dispatch,negative,rollback_dispatch,backward,hard,conditional,true,global,validator,none,critical,暂停后分派回退到Phase4,flow_chart_original.dot:81
E041,PAUSE->RW5,PAUSE,RW5,,solid,RollbackTransitionObject,rollback:dispatch,negative,rollback_dispatch,backward,hard,conditional,true,global,validator,none,critical,暂停后分派回退到Phase5,flow_chart_original.dot:82
E042,RW1->RESUME,RW1,RESUME,,solid,RollbackTransitionObject,rollback:return,negative,rollback_return,forward,hard,conditional,true,global,validator,none,critical,回退到1完成后恢复原phase计时,flow_chart_original.dot:83
E043,RW3->RESUME,RW3,RESUME,,solid,RollbackTransitionObject,rollback:return,negative,rollback_return,forward,hard,conditional,true,global,validator,none,critical,回退到3完成后恢复原phase计时,flow_chart_original.dot:84
E044,RW4->RESUME,RW4,RESUME,,solid,RollbackTransitionObject,rollback:return,negative,rollback_return,forward,hard,conditional,true,global,validator,none,critical,回退到4完成后恢复原phase计时,flow_chart_original.dot:85
E045,RW5->RESUME,RW5,RESUME,,solid,RollbackTransitionObject,rollback:return,negative,rollback_return,forward,hard,conditional,true,global,validator,none,critical,回退到5完成后恢复原phase计时,flow_chart_original.dot:86
E046,RESUME->TG,RESUME,TG,回到时间门禁,solid,GateTransitionObject,gate:rejoin:time,neutral,validator_handoff,forward,hard,true,true,global,time,none,critical,恢复后重新进入时间门禁,flow_chart_original.dot:87
E047,SUG->DM,SUG,DM,,solid,DecisionTransitionObject,decision:advisory,neutral,advisory_decision,branching,soft,conditional,true,phase,advisory,none,medium,非强制建议进入决策矩阵,flow_chart_original.dot:92
E048,DM->PAUSE,DM,PAUSE,Accept,solid,DecisionTransitionObject,decision:advisory,neutral,advisory_decision,branching,soft,conditional,true,phase,advisory,none,medium,建议被采纳时进入暂停回退链,flow_chart_original.dot:93
E049,DM->TG,DM,TG,Reject,solid,DecisionTransitionObject,decision:advisory,negative,advisory_decision,branching,soft,conditional,true,phase,advisory,none,medium,建议被拒绝时回到时间门禁,flow_chart_original.dot:94
E050,CT->SUG,CT,SUG,,solid,MetaTransitionObject,meta:suggestion_ingress,neutral,advice_ingress,inbound,soft,optional,true,phase,advisory,none,low,code_translator输入回退建议,flow_chart_original.dot:105
E051,DE->SUG,DE,SUG,,solid,MetaTransitionObject,meta:suggestion_ingress,neutral,advice_ingress,inbound,soft,optional,true,phase,advisory,none,low,data_engineer输入回退建议,flow_chart_original.dot:105
E052,FC->SUG,FC,SUG,,solid,MetaTransitionObject,meta:suggestion_ingress,neutral,advice_ingress,inbound,soft,optional,true,phase,advisory,none,low,feasibility_checker输入回退建议,flow_chart_original.dot:105
E053,MT->SUG,MT,SUG,,solid,MetaTransitionObject,meta:suggestion_ingress,neutral,advice_ingress,inbound,soft,optional,true,phase,advisory,none,low,model_trainer输入回退建议,flow_chart_original.dot:105
E054,VZ->SUG,VZ,SUG,,solid,MetaTransitionObject,meta:suggestion_ingress,neutral,advice_ingress,inbound,soft,optional,true,phase,advisory,none,low,visualizer输入回退建议,flow_chart_original.dot:105
E055,WR->SUG,WR,SUG,,solid,MetaTransitionObject,meta:suggestion_ingress,neutral,advice_ingress,inbound,soft,optional,true,phase,advisory,none,low,writer输入回退建议,flow_chart_original.dot:105
E056,AD->SUG,AD,SUG,,solid,MetaTransitionObject,meta:suggestion_ingress,neutral,advice_ingress,inbound,soft,optional,true,phase,advisory,none,low,advisor输入回退建议,flow_chart_original.dot:105
E057,P5->D5,P5,D5,,solid,DecisionTransitionObject,decision:dispatch,neutral,dispatch_decision,branching,hard,conditional,true,phase,training_dispatch,none,high,训练阶段进入依赖判定,flow_chart_original.dot:114
E058,D5->I5,D5,I5,,solid,DecisionTransitionObject,decision:dispatch,neutral,dispatch_decision,branching,hard,conditional,true,phase,training_dispatch,none,high,判定为并行独立训练,flow_chart_original.dot:115
E059,D5->S5,D5,S5,,solid,DecisionTransitionObject,decision:dispatch,neutral,dispatch_decision,branching,hard,conditional,true,phase,training_dispatch,none,high,判定为顺序训练,flow_chart_original.dot:116
E060,D5->M5,D5,M5,,solid,DecisionTransitionObject,decision:dispatch,neutral,dispatch_decision,branching,hard,conditional,true,phase,training_dispatch,none,high,判定为混合分批训练,flow_chart_original.dot:117
E061,I5->W5,I5,W5,,solid,SyncTransitionObject,sync:join,neutral,join_sync,merge,hard,true,true,phase,sync,none,high,并行分支汇聚等待,flow_chart_original.dot:118
E062,S5->W5,S5,W5,,solid,SyncTransitionObject,sync:join,neutral,join_sync,merge,hard,true,true,phase,sync,none,high,顺序分支汇聚等待,flow_chart_original.dot:119
E063,M5->W5,M5,W5,,solid,SyncTransitionObject,sync:join,neutral,join_sync,merge,hard,true,true,phase,sync,none,high,混合分支汇聚等待,flow_chart_original.dot:120
E064,W5->P55,W5,P55,,solid,ProgressTransitionObject,progress:released,positive,gate_release,forward,hard,conditional,true,phase_or_global,time_or_quality,none,critical,全部worker完成后放行到5.5,flow_chart_original.dot:121
E065,P5->EM,P5,EM,,solid,DecisionTransitionObject,decision:emergency,neutral,emergency_check,branching,hard,conditional,true,global,convergence,none,critical,训练进入收敛失败检测,flow_chart_original.dot:126
E066,EM->BP,EM,BP,Yes,solid,ExceptionTransitionObject,exception:bypass,negative,emergency_bypass,detour,hard,conditional,true,global,convergence,none,critical,收敛失败触发应急旁路,flow_chart_original.dot:127
E067,BP->P5,BP,P5,回到训练,solid,LoopTransitionObject,loop:generic,neutral,iterative_control,backward_or_self,hard,conditional,true,phase,none,rerun_or_retry,high,应急处理后回到训练循环,flow_chart_original.dot:128
E068,EM->D5,EM,D5,No,solid,DecisionTransitionObject,decision:dispatch,negative,dispatch_decision,branching,hard,conditional,true,phase,training_dispatch,none,high,无收敛失败则回常规分发,flow_chart_original.dot:129
E069,P65->APC,P65,APC,,solid,GateTransitionObject,gate:entry:asset,neutral,quality_gate_entry,forward,hard,true,true,phase,quality,none,high,6.5进入资源预检查,flow_chart_original.dot:134
E070,APC->VFIX,APC,VFIX,No,solid,ExceptionTransitionObject,exception:block,negative,gate_block,halt_or_detour,hard,conditional,true,phase_or_global,time_or_quality,none,critical,资源检查失败触发修复,flow_chart_original.dot:135
E071,VFIX->APC,VFIX,APC,循环,solid,LoopTransitionObject,loop:fix,neutral,iterative_control,backward_or_self,hard,conditional,true,phase,none,rerun_or_retry,high,修复后回检查循环,flow_chart_original.dot:136
E072,APC->P7A,APC,P7A,Yes,solid,ProgressTransitionObject,progress:released,positive,gate_release,forward,hard,conditional,true,phase_or_global,time_or_quality,none,critical,资源检查通过放行到7A,flow_chart_original.dot:137
E073,P7A->EDR,P7A,EDR,,solid,GateTransitionObject,gate:entry:editor_review,neutral,quality_gate_entry,forward,hard,true,true,phase,quality,none,high,7A进入页数审查,flow_chart_original.dot:143
E074,P7B->EDR,P7B,EDR,,solid,GateTransitionObject,gate:entry:editor_review,neutral,quality_gate_entry,forward,hard,true,true,phase,quality,none,high,7B进入页数审查,flow_chart_original.dot:144
E075,P7C->EDR,P7C,EDR,,solid,GateTransitionObject,gate:entry:editor_review,neutral,quality_gate_entry,forward,hard,true,true,phase,quality,none,high,7C进入页数审查,flow_chart_original.dot:145
E076,P7D->EDR,P7D,EDR,,solid,GateTransitionObject,gate:entry:editor_review,neutral,quality_gate_entry,forward,hard,true,true,phase,quality,none,high,7D进入页数审查,flow_chart_original.dot:146
E077,P7E->EDR,P7E,EDR,,solid,GateTransitionObject,gate:entry:editor_review,neutral,quality_gate_entry,forward,hard,true,true,phase,quality,none,high,7E进入页数审查,flow_chart_original.dot:147
E078,EDR->WREV,EDR,WREV,No,solid,ExceptionTransitionObject,exception:block,negative,gate_block,halt_or_detour,hard,conditional,true,phase_or_global,time_or_quality,none,critical,审查不通过阻断并返修,flow_chart_original.dot:149
E079,WREV->EDR,WREV,EDR,重复审查,solid,LoopTransitionObject,loop:revision,neutral,iterative_control,backward_or_self,hard,conditional,true,phase,none,rerun_or_retry,high,修订后重复审查循环,flow_chart_original.dot:150
E080,P7F->CMP,P7F,CMP,,solid,GateTransitionObject,gate:entry:compile,neutral,quality_gate_entry,forward,hard,true,true,phase,quality,none,high,7F进入编译成功检查,flow_chart_original.dot:157
E081,CMP->RET,CMP,RET,"No, 可修复",solid,ExceptionTransitionObject,exception:block,negative,gate_block,halt_or_detour,hard,conditional,true,phase_or_global,time_or_quality,none,critical,可修复编译失败进入修复,flow_chart_original.dot:158
E082,RET->CMP,RET,CMP,,solid,LoopTransitionObject,loop:retry,neutral,iterative_control,backward_or_self,hard,conditional,true,phase,none,rerun_or_retry,high,修复后重试编译,flow_chart_original.dot:159
E083,CMP->ESC,CMP,ESC,"No, 环境问题",solid,ExceptionTransitionObject,exception:escalation,negative,escalation,detour,hard,conditional,true,global,compile_env,none,high,环境问题升级处理,flow_chart_original.dot:160
E084,ESC->CMP,ESC,CMP,,solid,LoopTransitionObject,loop:generic,neutral,iterative_control,backward_or_self,hard,conditional,true,phase,none,rerun_or_retry,high,升级处理后再尝试编译,flow_chart_original.dot:161
E085,CMP->P75,CMP,P75,Yes,solid,ProgressTransitionObject,progress:released,positive,gate_release,forward,hard,conditional,true,phase_or_global,time_or_quality,none,critical,编译通过放行到7.5,flow_chart_original.dot:162
E086,P75->DC,P75,DC,,solid,GateTransitionObject,gate:entry:data_consistency,neutral,quality_gate_entry,forward,hard,true,true,phase,quality,none,high,7.5进入CSV一致性检查,flow_chart_original.dot:168
E087,DC->FIX,DC,FIX,No,solid,ExceptionTransitionObject,exception:block,negative,gate_block,halt_or_detour,hard,conditional,true,phase_or_global,time_or_quality,none,critical,不一致阻断并重生成,flow_chart_original.dot:169
E088,FIX->P75,FIX,P75,循环,solid,LoopTransitionObject,loop:fix,neutral,iterative_control,backward_or_self,hard,conditional,true,phase,none,rerun_or_retry,high,修复后回7.5循环,flow_chart_original.dot:170
E089,DC->P8,DC,P8,Yes,solid,ProgressTransitionObject,progress:released,positive,gate_release,forward,hard,conditional,true,phase_or_global,time_or_quality,none,critical,一致性通过放行到8,flow_chart_original.dot:171
E090,P91->DEF,P91,DEF,,solid,GateTransitionObject,gate:entry:mock_judging,neutral,quality_gate_entry,forward,hard,true,true,phase,quality,none,high,9.1进入DEFCON触发判定,flow_chart_original.dot:182
E091,DEF->RJ,DEF,RJ,Yes(自动拒绝),solid,ExceptionTransitionObject,exception:block,negative,gate_block,halt_or_detour,hard,conditional,true,phase_or_global,time_or_quality,none,critical,触发DEFCON时自动拒绝,flow_chart_original.dot:183
E092,RJ->P91,RJ,P91,,solid,LoopTransitionObject,loop:generic,neutral,iterative_control,backward_or_self,hard,conditional,true,phase,none,rerun_or_retry,high,拒绝后返回9.1循环,flow_chart_original.dot:184
E093,DEF->J1,DEF,J1,No,solid,DecisionTransitionObject,decision:judging,negative,decision_branch,branching,hard,conditional,true,phase,mock_judging,none,high,无DEFCON则转拒绝次数判定,flow_chart_original.dot:185
E094,J1->RJ,J1,RJ,Yes,solid,ExceptionTransitionObject,exception:block,negative,gate_block,halt_or_detour,hard,conditional,true,phase_or_global,time_or_quality,none,critical,拒绝次数<6继续拒绝循环,flow_chart_original.dot:186
E095,J1->J2,J1,J2,No,solid,DecisionTransitionObject,decision:judging,negative,decision_branch,branching,hard,conditional,true,phase,mock_judging,none,high,拒绝次数达标后看score分支,flow_chart_original.dot:187
E096,J2->PP,J2,PP,Yes,solid,ProgressTransitionObject,progress:released,positive,gate_release,forward,hard,conditional,true,phase_or_global,time_or_quality,none,critical,6-10且score>=95直接PASS,flow_chart_original.dot:188
E097,PP->P95,PP,P95,,solid,ProgressTransitionObject,progress:linear,positive,mainline_progress,forward,hard,true,true,phase,none,none,critical,PASS后前进到9.5,flow_chart_original.dot:189
E098,J2->J3,J2,J3,No,solid,DecisionTransitionObject,decision:judging,negative,decision_branch,branching,hard,conditional,true,phase,mock_judging,none,high,score不足进入>10次判定,flow_chart_original.dot:190
E099,J3->FP,J3,FP,Yes,solid,ProgressTransitionObject,progress:released,positive,gate_release,forward,hard,conditional,true,phase_or_global,time_or_quality,none,critical,超过10次触发Force PASS,flow_chart_original.dot:191
E100,FP->P95,FP,P95,,solid,ProgressTransitionObject,progress:linear,positive,mainline_progress,forward,hard,true,true,phase,none,none,critical,Force PASS后前进到9.5,flow_chart_original.dot:192
E101,J3->RJ,J3,RJ,No,solid,LoopTransitionObject,loop:reject_cycle,neutral,iterative_control,backward_or_self,hard,conditional,true,phase,none,rerun_or_retry,high,未超10次继续拒绝循环,flow_chart_original.dot:193
E102,P0->TG,P0,TG,,dotted,GateTransitionObject,gate:hook:time,neutral,global_hook,hook,hard,true,true,global,time,none,critical,阶段完成后接入全局时间门禁,flow_chart_original.dot:196
E103,P01->TG,P01,TG,,dotted,GateTransitionObject,gate:hook:time,neutral,global_hook,hook,hard,true,true,global,time,none,critical,阶段完成后接入全局时间门禁,flow_chart_original.dot:197
E104,P02->TG,P02,TG,,dotted,GateTransitionObject,gate:hook:time,neutral,global_hook,hook,hard,true,true,global,time,none,critical,阶段完成后接入全局时间门禁,flow_chart_original.dot:198
E105,P05->TG,P05,TG,,dotted,GateTransitionObject,gate:hook:time,neutral,global_hook,hook,hard,true,true,global,time,none,critical,阶段完成后接入全局时间门禁,flow_chart_original.dot:199
E106,P1->TG,P1,TG,,dotted,GateTransitionObject,gate:hook:time,neutral,global_hook,hook,hard,true,true,global,time,none,critical,阶段完成后接入全局时间门禁,flow_chart_original.dot:200
E107,P15->TG,P15,TG,,dotted,GateTransitionObject,gate:hook:time,neutral,global_hook,hook,hard,true,true,global,time,none,critical,阶段完成后接入全局时间门禁,flow_chart_original.dot:201
E108,P2->TG,P2,TG,,dotted,GateTransitionObject,gate:hook:time,neutral,global_hook,hook,hard,true,true,global,time,none,critical,阶段完成后接入全局时间门禁,flow_chart_original.dot:202
E109,P3->TG,P3,TG,,dotted,GateTransitionObject,gate:hook:time,neutral,global_hook,hook,hard,true,true,global,time,none,critical,阶段完成后接入全局时间门禁,flow_chart_original.dot:203
E110,P4->TG,P4,TG,,dotted,GateTransitionObject,gate:hook:time,neutral,global_hook,hook,hard,true,true,global,time,none,critical,阶段完成后接入全局时间门禁,flow_chart_original.dot:204
E111,P45->TG,P45,TG,,dotted,GateTransitionObject,gate:hook:time,neutral,global_hook,hook,hard,true,true,global,time,none,critical,阶段完成后接入全局时间门禁,flow_chart_original.dot:205
E112,P5->TG,P5,TG,,dotted,GateTransitionObject,gate:hook:time,neutral,global_hook,hook,hard,true,true,global,time,none,critical,阶段完成后接入全局时间门禁,flow_chart_original.dot:206
E113,P55->TG,P55,TG,,dotted,GateTransitionObject,gate:hook:time,neutral,global_hook,hook,hard,true,true,global,time,none,critical,阶段完成后接入全局时间门禁,flow_chart_original.dot:207
E114,P58->TG,P58,TG,,dotted,GateTransitionObject,gate:hook:time,neutral,global_hook,hook,hard,true,true,global,time,none,critical,阶段完成后接入全局时间门禁,flow_chart_original.dot:208
E115,P6->TG,P6,TG,,dotted,GateTransitionObject,gate:hook:time,neutral,global_hook,hook,hard,true,true,global,time,none,critical,阶段完成后接入全局时间门禁,flow_chart_original.dot:209
E116,P65->TG,P65,TG,,dotted,GateTransitionObject,gate:hook:time,neutral,global_hook,hook,hard,true,true,global,time,none,critical,阶段完成后接入全局时间门禁,flow_chart_original.dot:210
E117,P7A->TG,P7A,TG,,dotted,GateTransitionObject,gate:hook:time,neutral,global_hook,hook,hard,true,true,global,time,none,critical,阶段完成后接入全局时间门禁,flow_chart_original.dot:211
E118,P7B->TG,P7B,TG,,dotted,GateTransitionObject,gate:hook:time,neutral,global_hook,hook,hard,true,true,global,time,none,critical,阶段完成后接入全局时间门禁,flow_chart_original.dot:212
E119,P7C->TG,P7C,TG,,dotted,GateTransitionObject,gate:hook:time,neutral,global_hook,hook,hard,true,true,global,time,none,critical,阶段完成后接入全局时间门禁,flow_chart_original.dot:213
E120,P7D->TG,P7D,TG,,dotted,GateTransitionObject,gate:hook:time,neutral,global_hook,hook,hard,true,true,global,time,none,critical,阶段完成后接入全局时间门禁,flow_chart_original.dot:214
E121,P7E->TG,P7E,TG,,dotted,GateTransitionObject,gate:hook:time,neutral,global_hook,hook,hard,true,true,global,time,none,critical,阶段完成后接入全局时间门禁,flow_chart_original.dot:215
E122,P7F->TG,P7F,TG,,dotted,GateTransitionObject,gate:hook:time,neutral,global_hook,hook,hard,true,true,global,time,none,critical,阶段完成后接入全局时间门禁,flow_chart_original.dot:216
E123,P75->TG,P75,TG,,dotted,GateTransitionObject,gate:hook:time,neutral,global_hook,hook,hard,true,true,global,time,none,critical,阶段完成后接入全局时间门禁,flow_chart_original.dot:217
E124,P8->TG,P8,TG,,dotted,GateTransitionObject,gate:hook:time,neutral,global_hook,hook,hard,true,true,global,time,none,critical,阶段完成后接入全局时间门禁,flow_chart_original.dot:218
E125,P9->TG,P9,TG,,dotted,GateTransitionObject,gate:hook:time,neutral,global_hook,hook,hard,true,true,global,time,none,critical,阶段完成后接入全局时间门禁,flow_chart_original.dot:219
E126,P91->TG,P91,TG,,dotted,GateTransitionObject,gate:hook:time,neutral,global_hook,hook,hard,true,true,global,time,none,critical,阶段完成后接入全局时间门禁,flow_chart_original.dot:220
E127,P95->TG,P95,TG,,dotted,GateTransitionObject,gate:hook:time,neutral,global_hook,hook,hard,true,true,global,time,none,critical,阶段完成后接入全局时间门禁,flow_chart_original.dot:221
E128,P10->TG,P10,TG,,dotted,GateTransitionObject,gate:hook:time,neutral,global_hook,hook,hard,true,true,global,time,none,critical,阶段完成后接入全局时间门禁,flow_chart_original.dot:222
E129,P11->TG,P11,TG,,dotted,GateTransitionObject,gate:hook:time,neutral,global_hook,hook,hard,true,true,global,time,none,critical,阶段完成后接入全局时间门禁,flow_chart_original.dot:223
E130,NOTE->P0,NOTE,P0,,dashed,MetaTransitionObject,meta:annotation,neutral,documentation_link,non_executable,soft,false,false,documentation,none,none,low,保留原图说明节点到流程入口的注释连线,flow_chart_original.dot:227
E131,TG->TV_CALL,TG,TV_CALL,per-phase validation,dashed,GateTransitionObject,gate:handoff:time_validator,positive,validator_handoff,forward,hard,true,true,global,time,none,critical,显式补全每阶段必须调用time_validator的协议边,workspace/2025_C/CLAUDE.md:117
E132,RR->RERUN_CMD,RR,RERUN_CMD,--rerun,dashed,LoopTransitionObject,loop:rerun,neutral,iterative_control,backward_or_self,hard,conditional,true,phase,none,rerun_or_retry,critical,补全REJECT后必须以--rerun命令重跑,workspace/2025_C/CLAUDE.md:153
E133,RERUN_CMD->PREV_OUT,RERUN_CMD,PREV_OUT,read previous_output,dashed,SyncTransitionObject,sync:dependency,neutral,dependency_control,lateral,hard,true,true,phase,dependency,none,high,补全rerun必须读取previous_output并改进的依赖边,workspace/2025_C/CLAUDE.md:154
E134,TIMEOUT3->ALT,TIMEOUT3,ALT,3x timeout,dashed,ExceptionTransitionObject,exception:escalation,negative,escalation,detour,hard,conditional,true,global,timeout,none,high,补全3次超时后的替代策略升级入口,workspace/2025_C/CLAUDE.md:102
E135,ALT->SIMPLE,ALT,SIMPLE,fallback,dashed,ProgressTransitionObject,progress:linear,positive,mainline_progress,forward,medium,conditional,true,phase,none,none,medium,补全超时fallback链：alternative到simplified prompt,workspace/2025_C/CLAUDE.md:102
E136,SIMPLE->CHUNK,SIMPLE,CHUNK,fallback,dashed,ProgressTransitionObject,progress:linear,positive,mainline_progress,forward,medium,conditional,true,phase,none,none,medium,补全超时fallback链：simplified prompt到smaller chunks,workspace/2025_C/CLAUDE.md:102
E137,ANY_PHASE->KNOWN_ISSUES,ANY_PHASE,KNOWN_ISSUES,log issue,dashed,MetaTransitionObject,meta:annotation,neutral,documentation_link,non_executable,hard,true,false,documentation,none,none,medium,补全异常问题需记录到known_issues.md的治理边,workspace/2025_C/CLAUDE.md:103
E138,KNOWN_ISSUES->CONT,KNOWN_ISSUES,CONT,workaround+continue,dashed,ProgressTransitionObject,progress:continued,positive,continuation,forward,medium,conditional,true,global,none,none,medium,补全记录问题后降级继续执行的协议边,workspace/2025_C/CLAUDE.md:103
